id,service,region,type,vcpu,memory_gb,os_or_engine,size_gb,quantity,hours_per_month,description
app-server,ec2,ap-southeast-3,custom,2,4,Linux,0,2,730,Web application server (matched to cheapest instance)
app-db,rds,ap-southeast-3,db.t3.medium,2,4,PostgreSQL,100,1,730,Database instance with 100GB gp3 storage
app-storage,s3,ap-southeast-3,Standard,0,0,,500,1,,S3 Object Storage bucket (500GB Standard class)
app-eks,eks,ap-southeast-3,standard,0,0,,0,1,730,EKS Kubernetes Cluster fee
egress-traffic,data_transfer,ap-southeast-3,,0,0,,1200,1,,Outbound data transfer to Internet (1200 GB)
drs1,drs,ap-southeast-3,,0,0,0,50.0,55,20,DRS to cloud
app-nat,nat,ap-southeast-3,,0,0,,100,1,730,NAT Gateway hourly fee and 100GB data processed
app-vpn,vpn,ap-southeast-3,site-to-site,0,0,,0,1,730,Site-to-Site VPN Connection
app-public-ip,eip,ap-southeast-3,in-use,0,0,,0,2,730,2 Public Static IPs (Elastic IPs)
az-server,azure,southeastasia,Standard_D2s_v5,2,8,Linux,0,2,730,Azure Web Server
az-nat,azure,southeastasia,nat_gateway,,0,,100,1,730,Azure NAT Gateway and 100GB data processed
az-vpn,azure,southeastasia,vpn_gateway,,0,,0,1,730,Azure VPN Gateway Connection
az-public-ip,azure,southeastasia,public_ip,,0,,0,2,730,2 Azure Public Static IPs
az-asr,azure,southeastasia,site_recovery,,0,,50.0,55,730,"Azure Site Recovery to cloud (55 protected servers, 50GB storage each)"
az-custom,azure,southeastasia,Standard_B2s,2,4,Linux,0,1,730,Cheapest custom Azure Linux VM matching >= 2 vCPU and 4GB memory
drs-drill1,drs-drill,ap-southeast-3,custom,2,4,Linux,50.0,55,20,DR Drill test: 55 servers for 20 hours per month
app-alb,alb,ap-southeast-3,,0,0,,1000,1,730,Application Load Balancer with 1000GB data processed
app-backup,backup,ap-southeast-3,3-retention-100%,0,0,,100.0,12,,"AWS Backup EBS Snapshots: 3 retained, 100% change rate (full copies)"
az-backup,azure-backup,southeastasia,3-copies-10%,0,0,,100.0,12,,"Azure VM Backup: 3 retained, 10% change rate (incremental)"


