id,service,region,type,matched_type,requested_vcpu,requested_memory_gb,matched_vcpu,matched_memory_gb,os_or_engine,size_gb,quantity,hours_per_month,unit_price,monthly_price,currency,notes,description
app-server,ec2,ap-southeast-3,custom,t3.medium,2,4.0,2,4.0,Linux,0.0,2,730,0.0528,77.088,USD,"Cheapest x86_64 matching >= 2 vCPU, 4.0 GB RAM (Linux)",Web application server (matched to cheapest instance)
app-db,rds,ap-southeast-3,db.t3.medium,db.t3.medium,2,4.0,2,4.0,PostgreSQL,100.0,1,730,0.126,105.78,USD,RDS DB instance (PostgreSQL Single-AZ) + gp3 storage (100.0 GB @ $0.138/GB-mo),Database instance with 100GB gp3 storage
app-storage,s3,ap-southeast-3,Standard,Standard,0,0.0,0,0.0,Linux,500.0,1,730,0.025,12.5,USD,S3 Storage Class: Standard,S3 Object Storage bucket (500GB Standard class)
app-eks,eks,ap-southeast-3,standard,standard,0,0.0,0,0.0,Linux,0.0,1,730,0.1,73.0,USD,EKS cluster management fee,EKS Kubernetes Cluster fee
egress-traffic,data_transfer,ap-southeast-3,custom,custom,0,0.0,0,0.0,Linux,1200.0,1,730,0.12100000000000001,145.20000000000002,USD,100 GB Free + 1100.0 GB @ $0.132/GB,Outbound data transfer to Internet (1200 GB)
drs1,drs,ap-southeast-3,custom,custom,0,0.0,0,0.0,0,50.0,55,20,0.028,294.8,USD,55 servers (20 hrs/mo @ $0.028/hr) + gp3 storage (2750.0 GB @ $0.096/GB-mo),DRS to cloud
app-nat,nat,ap-southeast-3,custom,custom,0,0.0,0,0.0,Linux,100.0,1,730,0.059,48.97,USD,NAT Gateway hourly fee ($0.059/hr) + data processing fee (100.0 GB @ $0.059/GB),NAT Gateway hourly fee and 100GB data processed
app-vpn,vpn,ap-southeast-3,site-to-site,site-to-site,0,0.0,0,0.0,Linux,0.0,1,730,0.05,36.5,USD,VPN Connection (site-to-site @ $0.05/hr),Site-to-Site VPN Connection
app-public-ip,eip,ap-southeast-3,in-use,in-use,0,0.0,0,0.0,Linux,0.0,2,730,0.005,7.3,USD,Public IPv4 Address / Elastic IP ($0.005/hr),2 Public Static IPs (Elastic IPs)
TOTAL_ESTIMATED_MONTHLY_COST,total,,,,0,0.0,0,0.0,,0.0,0,0,0.0,801.1379999999999,USD,Total Monthly Estimated Cost: $801.14 USD,Sum of all monthly cost estimate lines.
AWS_PRICING_DATABASE_VERSION,metadata,,,,0,0.0,0,0.0,,0.0,0,0,0.0,0.0,USD,"AWS price databases publication dates: EC2 (ap-southeast-3): 2026-07-14, RDS (ap-southeast-3): 2026-07-14, DRS (ap-southeast-3): 2026-07-20, VPC (ap-southeast-3): 2026-07-24, S3 (ap-southeast-3): 2026-07-14, EKS (ap-southeast-3): 2026-07-07, DATA (transfer): 2026-06-25",This estimate was generated using AWS pricing datasets published on these dates.
